                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.68806,                0.57982,                 1.0992,                0.90255,                0.86607,                0.91704,                0.72651,                0.85317,                0.61287,                 1.2371,               0.006568,               0.006568,               0.006568
                    106,                0.67457,                0.56707,                 1.0933,                0.85983,                0.87719,                0.91303,                0.72475,                 0.8464,                0.61682,                 1.2357,               0.006535,               0.006535,               0.006535
                    107,                0.67847,                0.55964,                  1.097,                0.91109,                0.85901,                 0.9139,                0.73021,                0.83655,                0.62116,                 1.2277,               0.006502,               0.006502,               0.006502
                    108,                0.67078,                0.56141,                 1.0945,                0.91758,                0.85437,                0.91105,                0.72577,                0.83084,                0.61334,                 1.2175,               0.006469,               0.006469,               0.006469
                    109,                0.67361,                0.56726,                 1.0969,                 0.9156,                0.86027,                0.91562,                0.73044,                0.83516,                0.60873,                 1.2213,               0.006436,               0.006436,               0.006436
                    110,                0.65621,                 0.5488,                 1.0924,                0.93702,                0.85895,                0.91614,                 0.7313,                0.82979,                0.60408,                 1.2122,               0.006403,               0.006403,               0.006403
                    111,                0.67655,                0.54842,                 1.0932,                0.94959,                0.85602,                0.91722,                 0.7319,                0.82502,                 0.6082,                 1.2046,                0.00637,                0.00637,                0.00637
                    112,                0.66652,                0.55077,                 1.0923,                0.94088,                0.86918,                0.91904,                0.72897,                0.82379,                 0.6042,                 1.2003,               0.006337,               0.006337,               0.006337
                    113,                 0.6629,                0.55141,                 1.0935,                0.94105,                0.86698,                0.91769,                0.73341,                 0.8161,                0.60373,                 1.1923,               0.006304,               0.006304,               0.006304
                    114,                0.66406,                0.54648,                 1.0885,                0.93701,                0.86722,                0.91773,                0.73362,                0.82283,                0.60185,                 1.2028,               0.006271,               0.006271,               0.006271
                    115,                0.66023,                0.54705,                 1.0878,                0.94347,                0.87344,                0.91685,                0.73116,                0.84341,                 0.5917,                 1.2198,               0.006238,               0.006238,               0.006238
                    116,                 0.6697,                0.55266,                 1.0924,                0.94064,                0.86571,                0.91804,                0.73123,                0.83722,                0.58359,                 1.2152,               0.006205,               0.006205,               0.006205
